变量名,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_tw,weatherDesc_en,weatherDesc_vn,weatherDesc_kr,weatherDesc_pt,weatherDesc_th,palce,palce_tw,palce_en,palce_vn,palce_kr,palce_ar,palce_de,palce_fr,palce_it,palce_pt,palce_ru,palce_th,placeDesc,placeDesc_tw,placeDesc_en,placeDesc_vn,placeDesc_kr,placeDesc_ar,placeDesc_de,placeDesc_fr,placeDesc_it,placeDesc_pt,placeDesc_ru,placeDesc_th,specialEff,specialEffDesc,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_vn,specialEffDesc_kr,specialEffDesc_pt,specialEffDesc_th
80322,格斗三傻,,4,33,1,1,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<7>;1;0;7%>;<<7>;17;0;1500>;<<7>;95;0;1500>>,\n我方限制上阵3个精灵\n敌方任一精灵攻击时，其余队友一起使用技能攻击我方\n敌方受到攻击时会进行反击,\n我方限制上陣3個精靈\n敵方任一精靈攻擊時，其余隊友一起使用技能攻擊我方\n敵方受到攻擊時會進行反擊,"\nLimited to use 3 Pokémon in the battle\nWhen any of the enemy Pokémon attacks, the rest of the enemies will use their skills to attack together\nWhen enemy is attacked, they will counterattack",404,\n아군 포켓몬 최대 3마리 출전 가능\n적 포켓몬이 공격할 때 남은 적 포켓몬은 같이 스킬로 아군 포켓몬을 공격한다\n적 포켓몬은 공격을 받으면 반격할 수 있다,"\nLimitado a usar 3 Pokémon na batalha\nQuando qualquer um dos Pokémon inimigos ataca, o resto dos inimigos usará suas habilidades para atacar juntos\nQuando o inimigo for atacado, eles contra-atacarão",\nจำกัดการใช้โปเกมอน 3 ตัวในการต่อสู้\nเมื่อโปเกมอนฝ่ายศัตรูตัวใดตัวหนึ่งโจมตี ศัตรูตัวอื่นๆ จะใช้ทักษะโจมตีพร้อมกัน\nเมื่อศัตรูถูกโจมตี พวกมันจะโจมตีสวนกลับ
80323,,,4,33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80324,,,4,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80325,,,4,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80326,,,4,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80331,6V6单挑 属性,,4,34,1,2,,6,,32,,1,【大日照】（火系精灵伤害提升，水系精灵伤害降低，全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,【大日照】（火系精靈傷害提升，水系精靈傷害降低，全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[쾌청] 불꽃 타입 포켓몬 피해 증가, 물 타입 포켓몬 피해 감소, 전체 포켓몬 [태양의 힘] 획득 (턴마다 일정한 HP 손실, 피해 증가, 중첩 가능)","[Luz solar extremamente severa] (Aumenta o dano de Pokémon do tipo Fogo e reduz o dano de Pokémon do tipo Água, todos os Pokémon recebem o estado [Poder do Sol] (uma certa quantidade de HP será perdida a cada rodada, pode ser acumulada, o dano aumenta quando acumula)",[แสงแดดที่รุนแรงมาก] (เพิ่มความเสียหายให้กับโปเกมอนประเภทไฟ และลดความเสียหายให้กับโปเกมอนประเภทน้ำ โปเกมอนทุกตัวจะอยู่ในสถานะ [พลังแห่งดวงอาทิตย์] (จะสูญเสีย HP จำนวนหนึ่งทุก ๆ รอบ สามารถซ้อนกันได้ ความเสียหายจะเพิ่มขึ้นเมื่อซ้อนกัน),,,,,,,,,,,,,,,,,,,,,,,,,<<<7>;1;0;10%>;<<7>;14;0;2000>>,\n属性克制伤害大幅提升（敌方双属性精灵格斗属性不会被克制）,\n屬性克制傷害大幅提升（敵方雙屬性精靈格鬥屬性不會被克制）,\nThe type restraint damage is greatly increased (the enemy's dual type Pokémon’s Fighting type will not be restrained),404,,\nO dano de restrição de tipo é bastante aumentado (o tipo Lutador do Pokémon de tipo duplo do inimigo não será restringido),ความเสียหายจากการจำกัดประเภทจะเพิ่มขึ้นอย่างมาก (โปเกมอนประเภทต่อสู้ของศัตรูที่เป็นประเภทคู่จะไม่ถูกจำกัด)
80332,6V6单挑 斗,,4,34,1,2,,6,,32,,6,【大日照】（火系精灵伤害提升，水系精灵伤害降低，全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,【大日照】（火系精靈傷害提升，水系精靈傷害降低，全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[쾌청] 불꽃 타입 포켓몬 피해 증가, 물 타입 포켓몬 피해 감소, 전체 포켓몬 [태양의 힘] 획득 (턴마다 일정한 HP 손실, 피해 증가, 중첩 가능)","[Luz solar extremamente severa] (Aumenta o dano de Pokémon do tipo Fogo e reduz o dano de Pokémon do tipo Água, todos os Pokémon recebem o estado [Poder do Sol] (uma certa quantidade de HP será perdida a cada rodada, pode ser acumulada, o dano aumenta quando acumula)",[แสงแดดที่รุนแรงมาก] (เพิ่มความเสียหายให้กับโปเกมอนประเภทไฟ และลดความเสียหายให้กับโปเกมอนประเภทน้ำ โปเกมอนทุกตัวจะอยู่ในสถานะ [พลังแห่งดวงอาทิตย์] (จะสูญเสีย HP จำนวนหนึ่งทุก ๆ รอบ สามารถซ้อนกันได้ ความเสียหายจะเพิ่มขึ้นเมื่อซ้อนกัน),,,,,,,,,,,,,,,,,,,,,,,,,<<<7>;1;0;10%>;<<7>;14;0;2000>;<<7>;5;0;10000>>,,,,,,,
80333,,,4,34,0,1,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80334,,,4,34,0,1,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80335,,,4,34,0,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80336,,,4,34,0,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80341,火系主阵容,,4,35,1,1,,,,33,32,4,【大日照】（火系精灵伤害提升，水系精灵伤害降低，全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,【大日照】（火系精靈傷害提升，水系精靈傷害降低，全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[쾌청] 불꽃 타입 포켓몬 피해 증가, 물 타입 포켓몬 피해 감소, 전체 포켓몬 [태양의 힘] 획득 (턴마다 일정한 HP 손실, 피해 증가, 중첩 가능)","[Luz solar extremamente severa] (Aumenta o dano de Pokémon do tipo Fogo e reduz o dano de Pokémon do tipo Água, todos os Pokémon recebem o estado [Poder do Sol] (uma certa quantidade de HP será perdida a cada rodada, pode ser acumulada, o dano aumenta quando acumula)",[แสงแดดที่รุนแรงมาก] (เพิ่มความเสียหายให้กับโปเกมอนประเภทไฟ และลดความเสียหายให้กับโปเกมอนประเภทน้ำ โปเกมอนทุกตัวจะอยู่ในสถานะ [พลังแห่งดวงอาทิตย์] (จะสูญเสีย HP จำนวนหนึ่งทุก ๆ รอบ สามารถซ้อนกันได้ ความเสียหายจะเพิ่มขึ้นเมื่อซ้อนกัน),,,,,,,,,,,,,,,,,,,,,,,,,<<<2>;1;0;10%>;<<2>;14;0;3000>;<<2>;15;0;4000>>,,,,,,,
80342,无限火力,,4,35,1,1,,,,33,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<2;7>;1;0;30%>;<<2;7>;24;0;3000>>,\n无限火力：双方每回合怒气回满；全体免疫控制,\n無限火力：雙方每回合怒氣回滿；全體免疫控制,"\nUltra Rapid Fire: Both sides recovers full anger each round, all are immune to control effect",404,\n무한화력: 턴마다 양측 포켓몬의 분노치가 가득 찬 상태로 회복한다; 전체 제어 효과 면역,"\nUltra Rapid Fire: Ambos os lados recuperam a raiva total a cada rodada, todos são imunes ao efeito de controle",_nการยิงแบบรวดเร็วพิเศษ: ทั้งสองฝ่ายฟื้นคืนความโกรธเต็มที่ในแต่ละรอบ ทุกคนจะไม่รับผลควบคุม
80343,全员肉搏,,4,35,1,1,,,,33,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<2;7>;1;0;10%>;<<2;7>;15;0;3000>>,\n全员肉搏战：双方均无法使用必杀技，普攻和小技能伤害提升20%，怒气越多造成伤害越高,\n全員肉搏戰：雙方均無法使用必殺技，普攻和小技能傷害提升20%，怒氣越多造成傷害越高,"\nMelee combat: both sides cannot use Ultimate Skill, damage of basic attacks and basic skills increas by 20%, the more anger, the higher the damage dealt",404,"\n전원육탄전: 양측은 필살기 사용 불가, 일반 공격과 일반 스킬의 피해량 2% 증가, 분노치가 높을 수록 피해량이 크다","\nCombate corpo a corpo: ambos os lados não podem usar a Ultimate Skill, o dano dos ataques básicos e das habilidades básicas aumenta em 20%, quanto mais raiva, maior o dano causado",การต่อสู้ระยะประชิด: ทั้งสองฝ่ายไม่สามารถใช้ทักษะขั้นสูงสุดได้ ความเสียหายจากการโจมตีพื้นฐานและทักษะพื้นฐานเพิ่มขึ้น 20% ยิ่งโกรธมาก ความเสียหายที่เกิดขึ้นก็จะยิ่งสูงขึ้น
80344,6凤王,,4,35,1,1,,,,33,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<2>;1;0;10%>;<<2>;15;0;3000>>,,,,,,,
80345,,,4,35,0,,,,,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80346,,,4,35,0,,,,,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80351,火斗馆主,TRUE,4,,100,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80401,龙系送分,,5,41,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<15>;1;0;5%>>,\n好像混入了什么奇怪的东西,\n好像混入了什麽奇怪的東西,\nSomething strange seems to be mixed in,404,\n이상한 것은 섞인 것 같다,\nParece que há algo estranho misturado,_nดูเหมือนว่าจะมีอะไรบางอย่างแปลกๆ ปะปนอยู่
80402,电系送分,,5,41,1,1,,,,,,2,【雷雨】（电系技能伤害提升，每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】）,【雷雨】（電系技能傷害提升，每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】）,"[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[뇌우] (전기 타입 스킬 피해 증가, 라운드 종료마다 낙뢰로 무작위 유닛에게 공격하여 대량 피해를 입힌다(전기 타입 포켓몬이 확률로 피해 흡수 가능), 전기 타입 아닌 포켓몬이 확률로 마비된다)","[Tempestade] (Dano de habilidade elétrica aumentado. No final de cada rodada, um raio cai em um alvo aleatório no campo, causando toneladas de dano (Pokémon elétricos têm chance de absorver o dano), Pokémon do tipo não elétrico têm chance de ser [Paralisia])",[พายุฝนฟ้าคะนอง] (ความเสียหายของทักษะไฟฟ้าเพิ่มขึ้น ในตอนท้ายของแต่ละรอบ สายฟ้าที่ตกลงมาจะฟาดลงมาที่เป้าหมายแบบสุ่มบนสนาม ทำให้ได้รับความเสียหายจำนวนมาก (โปเกมอนไฟฟ้ามีโอกาสดูดซับความเสียหาย) โปเกมอนประเภทที่ไม่ใช่ไฟฟ้ามีโอกาสที่จะ [อัมพาต]),,,,,,,,,,,,,,,,,,,,,,,,,<<<5>;1;0;5%>>,,,,,,,
80403,龙电送分,,5,41,1,1,,,,,,7,【雷雨】（电系技能伤害提升，每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】）,【雷雨】（電系技能傷害提升，每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】）,"[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[뇌우] (전기 타입 스킬 피해 증가, 라운드 종료마다 낙뢰로 무작위 유닛에게 공격하여 대량 피해를 입힌다(전기 타입 포켓몬이 확률로 피해 흡수 가능), 전기 타입 아닌 포켓몬이 확률로 마비된다)","[Tempestade] (Dano de habilidade elétrica aumentado. No final de cada rodada, um raio cai em um alvo aleatório no campo, causando toneladas de dano (Pokémon elétricos têm chance de absorver o dano), Pokémon do tipo não elétrico têm chance de ser [Paralisia])",[พายุฝนฟ้าคะนอง] (ความเสียหายของทักษะไฟฟ้าเพิ่มขึ้น ในตอนท้ายของแต่ละรอบ สายฟ้าที่ตกลงมาจะฟาดลงมาที่เป้าหมายแบบสุ่มบนสนาม ทำให้ได้รับความเสียหายจำนวนมาก (โปเกมอนไฟฟ้ามีโอกาสดูดซับความเสียหาย) โปเกมอนประเภทที่ไม่ใช่ไฟฟ้ามีโอกาสที่จะ [อัมพาต]),,,,,,,,,,,,,,,,,,,,,,,,,<<<5;15>;1;0;5%>>,,,,,,,
80404,迷你龙送分,,5,41,1,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<15>;1;0;5%>>,\n可爱的迷你龙哈克龙生性不好斗,\n可愛的迷你龍哈克龍生性不好鬥,\n Cute Dratini and Dragonair don't like to fight,,,\n O fofo Dratini e o Dragonair não gostam de lutar,\n ดราตินี่ผู้แสนน่ารักและดราก้อนแอร์ไม่ชอบการต่อสู้
80405,,,5,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80406,,,5,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80411,,,5,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80412,电击魔+电龙,,5,42,100,1,,,,,,1,【雷雨】（电系技能伤害提升，每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】）,【雷雨】（電系技能傷害提升，每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】）,"[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[뇌우] (전기 타입 스킬 피해 증가, 라운드 종료마다 낙뢰로 무작위 유닛에게 공격하여 대량 피해를 입힌다(전기 타입 포켓몬이 확률로 피해 흡수 가능), 전기 타입 아닌 포켓몬이 확률로 마비된다)","[Tempestade] (Dano de habilidade elétrica aumentado. No final de cada rodada, um raio cai em um alvo aleatório no campo, causando toneladas de dano (Pokémon elétricos têm chance de absorver o dano), Pokémon do tipo não elétrico têm chance de ser [Paralisia])",[พายุฝนฟ้าคะนอง] (ความเสียหายของทักษะไฟฟ้าเพิ่มขึ้น ในตอนท้ายของแต่ละรอบ สายฟ้าที่ตกลงมาจะฟาดลงมาที่เป้าหมายแบบสุ่มบนสนาม ทำให้ได้รับความเสียหายจำนวนมาก (โปเกมอนไฟฟ้ามีโอกาสดูดซับความเสียหาย) โปเกมอนประเภทที่ไม่ใช่ไฟฟ้ามีโอกาสที่จะ [อัมพาต]),,,,,,,,,,,,,,,,,,,,,,,,,<<<5>;1;0;6%>;<<5>;5;0;1000>>,,,,,,,
80413,,,5,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80414,,,5,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80415,,,5,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80416,,,5,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80421,黏美龙+X喷,,5,43,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<15>;1;0;7%>;<<15>;8;0;10%>>,,,,,,,
80422,皮卡丘,,5,43,2,1,,,,,,5,#L10#永久雷雨天气#L0#\n【雷雨】（电系技能伤害提升，每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】）,#L10#永久雷雨天氣#L0#\n【雷雨】（電系技能傷害提升，每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】）,"#L10#Eternal Thunderstorm Weather#L0#\n[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","#L10#Eternal Thunderstorm Weather#L0#\n[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","#L10#영구 뇌우#L0#\n[뇌우] (전기 타입 스킬 피해 증가, 라운드 종료마다 낙뢰로 무작위 유닛에게 공격하여 대량 피해를 입힌다(전기 타입 포켓몬이 확률로 피해 흡수 가능), 전기 타입 아닌 포켓몬이 확률로 마비된다 )","#L10#Clima de Tempestade Eterna#L0#\n[Tempestade] (Dano de habilidade elétrica aumentado. No final de cada rodada, um raio caindo atinge um alvo aleatório no campo, causando toneladas de dano (Pokémon elétricos têm chance de absorver o dano), Pokémon do tipo não elétrico têm chance de ser [Paralisia])",#L10#Eternal Thunderstorm Weather#L0#\n[พายุฝนฟ้าคะนอง] (ความเสียหายของทักษะไฟฟ้าเพิ่มขึ้น ในตอนท้ายของแต่ละรอบ สายฟ้าที่ตกลงมาจะฟาดเป้าหมายแบบสุ่มบนสนาม ทำให้เกิดความเสียหายจำนวนมาก (โปเกมอนไฟฟ้ามีโอกาสดูดซับความเสียหาย) โปเกมอนประเภทที่ไม่ใช่ไฟฟ้ามีโอกาสที่จะ [อัมพาต] ),,,,,,,,,,,,,,,,,,,,,,,,,,你以为你面对的是什么？,你以為你面對的是什麽？,What do you think you are fighting with?,404,상대는 누구인지 알아?,Com o que você acha que está lutando?,คิดว่าตัวเองกำลังสู้กับอะไรอยู่?
80423,,,5,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80424,,,5,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80425,,,5,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80426,,,5,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80431,四龙,,5,44,1,3,,,2,42,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<15>;1;0;8%>;<<15>;22;0;1000>>,,,,,,,
80432,电系主阵容,,5,44,1,1,,,,42,,1,【雷雨】（电系技能伤害提升，每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】）,【雷雨】（電系技能傷害提升，每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】）,"[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[뇌우] (전기 타입 스킬 피해 증가, 라운드 종료마다 낙뢰로 무작위 유닛에게 공격하여 대량 피해를 입힌다(전기 타입 포켓몬이 확률로 피해 흡수 가능), 전기 타입 아닌 포켓몬이 확률로 마비된다)","[Tempestade] (Dano de habilidade elétrica aumentado. No final de cada rodada, um raio cai em um alvo aleatório no campo, causando toneladas de dano (Pokémon elétricos têm chance de absorver o dano), Pokémon do tipo não elétrico têm chance de ser [Paralisia])",[พายุฝนฟ้าคะนอง] (ความเสียหายของทักษะไฟฟ้าเพิ่มขึ้น ในตอนท้ายของแต่ละรอบ สายฟ้าที่ตกลงมาจะฟาดลงมาที่เป้าหมายแบบสุ่มบนสนาม ทำให้ได้รับความเสียหายจำนวนมาก (โปเกมอนไฟฟ้ามีโอกาสดูดซับความเสียหาย) โปเกมอนประเภทที่ไม่ใช่ไฟฟ้ามีโอกาสที่จะ [อัมพาต]),,,,,,,,,,,,,,,,,,,,,,,,,<<<5>;1;0;8%>;<<5>;5;0;1000>>,,,,,,,
80433,皮卡丘电系阵容,,5,44,1,1,,,,42,,8,【雷雨】（电系技能伤害提升，每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】）,【雷雨】（電系技能傷害提升，每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】）,"[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[뇌우] (전기 타입 스킬 피해 증가, 라운드 종료마다 낙뢰로 무작위 유닛에게 공격하여 대량 피해를 입힌다(전기 타입 포켓몬이 확률로 피해 흡수 가능), 전기 타입 아닌 포켓몬이 확률로 마비된다)","[Tempestade] (Dano de habilidade elétrica aumentado. No final de cada rodada, um raio cai em um alvo aleatório no campo, causando toneladas de dano (Pokémon elétricos têm chance de absorver o dano), Pokémon do tipo não elétrico têm chance de ser [Paralisia])",[พายุฝนฟ้าคะนอง] (ความเสียหายของทักษะไฟฟ้าเพิ่มขึ้น ในตอนท้ายของแต่ละรอบ สายฟ้าที่ตกลงมาจะฟาดลงมาที่เป้าหมายแบบสุ่มบนสนาม ทำให้ได้รับความเสียหายจำนวนมาก (โปเกมอนไฟฟ้ามีโอกาสดูดซับความเสียหาย) โปเกมอนประเภทที่ไม่ใช่ไฟฟ้ามีโอกาสที่จะ [อัมพาต]),,,,,,,,,,,,,,,,,,,,,,,,,<<<5>;1;0;8%>;<<5>;5;0;10000>>,,,,,,,
80434,,,5,44,0,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80435,,,5,44,0,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80436,,,5,44,0,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80441,龙系主阵容,,5,45,1,1,,,,43,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<15>;1;0;10%>;<<15>;26;0;1000>>,,,,,,,
80442,6自爆磁怪,,5,45,1,1,,,,43,42,1,【雷雨】（电系技能伤害提升，每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】）,【雷雨】（電系技能傷害提升，每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電系精靈有幾率吸收該傷害），非電系精靈有幾率被【麻痹】）,"[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[Thunderstorm] (Electric skill damage increased. At the end of each round, a falling lightning strikes a random target on the field, causing tons of damage (Electric Pokémon have chance to absorb the damage), non-electric type Pokémon have chance to be [Paralysis] )","[뇌우] (전기 타입 스킬 피해 증가, 라운드 종료마다 낙뢰로 무작위 유닛에게 공격하여 대량 피해를 입힌다(전기 타입 포켓몬이 확률로 피해 흡수 가능), 전기 타입 아닌 포켓몬이 확률로 마비된다)","[Tempestade] (Dano de habilidade elétrica aumentado. No final de cada rodada, um raio cai em um alvo aleatório no campo, causando toneladas de dano (Pokémon elétricos têm chance de absorver o dano), Pokémon do tipo não elétrico têm chance de ser [Paralisia])",[พายุฝนฟ้าคะนอง] (ความเสียหายของทักษะไฟฟ้าเพิ่มขึ้น ในตอนท้ายของแต่ละรอบ สายฟ้าที่ตกลงมาจะฟาดลงมาที่เป้าหมายแบบสุ่มบนสนาม ทำให้ได้รับความเสียหายจำนวนมาก (โปเกมอนไฟฟ้ามีโอกาสดูดซับความเสียหาย) โปเกมอนประเภทที่ไม่ใช่ไฟฟ้ามีโอกาสที่จะ [อัมพาต]),,,,,,,,,,,,,,,,,,,,,,,,,<<<5>;1;0;10%>;<<5>;5;0;1000>>,,,,,,,
80443,,,5,45,0,1,,,,43,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
