变量名,effectType,target,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr,effectDesc_pt,effectDesc_th
66,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+24时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
67,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+27时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
68,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+30时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +15: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +15: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
69,1,<>,,23,<200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+35时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +3: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +3: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
70,1,<>,,23,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+40时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +15: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +15: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
71,2,<>,61506,,<>,,<>,,<>,,<>,,<>,,<>,%s,%s,%s,%s,%s,%s,%s
72,1,<>,,1,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,13,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,7,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,8,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,9,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,10,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,#C0x5B545B##F40#全体精灵基础属性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40#Atributos base de todos os Pokémons aumentam em #F50##C0x5C9970#%s,#C0x5B545B##F40#ค่าสถานะพื้นฐานของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
73,1,<>,,17,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+3时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +3: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +3: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
74,1,<>,,19,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+6时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +6: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +6: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
75,1,<>,,33,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+9时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
76,1,<>,,35,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+12时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
77,1,<>,,16,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+15时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +15: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +15: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
78,1,<>,,17,<400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+18时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +3: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +3: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
79,1,<>,,19,<400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+21时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +6: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +6: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
80,1,<>,,33,<400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+24时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
81,1,<>,,35,<400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+27时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
82,1,<>,,16,<400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+30时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +15: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +15: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
83,1,<>,,33,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+35时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
84,1,<>,,35,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+40时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
85,2,<>,61509,,<>,,<>,,<>,,<>,,<>,,<>,%s,%s,%s,%s,%s,%s,%s
86,1,<>,,1,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,13,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,7,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,8,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,9,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,10,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;6.3%;6.6%;6.9%;7.2%;7.5%;7.8%;8.1%;8.4%;8.7%;9%;9.3%;9.6%;9.9%;10.2%;10.5%;10.8%;11.1%;11.4%;11.7%;12%;12.3%;12.6%;12.9%;13.2%;13.5%;13.8%;14.1%;14.4%;14.7%;15%>,#C0x5B545B##F40#全体精灵基础属性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40#Atributos base de todos os Pokémons aumentam em #F50##C0x5C9970#%s,#C0x5B545B##F40#ค่าสถานะพื้นฐานของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
87,1,<>,,11,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+3时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +3: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +3: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
88,1,<>,,12,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+6时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +6: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +6: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
89,1,<>,,32,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+9时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
