变量名,name,name_tw,name_en,name_kr,name_vn,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
127,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟฟ้าทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,5,0,40,100,
128,收集35全体精灵,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,Collect 35 of all Pokémons,Collect 35 of all Pokémons,สะสมโปเกมอนทั้งหมด 35 ตัว,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟฟ้าทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,35,5,0,40,100,
131,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำแข็งทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,6,0,41,100,
132,收集24全体精灵,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,Collect 24 of all Pokémons,Collect 24 of all Pokémons,สะสมโปเกมอนทั้งหมด 24 ตัว,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำแข็งทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,24,6,0,41,100,
133,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำแข็งทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,6,0,41,100,
134,收集35全体精灵,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,Collect 35 of all Pokémons,Collect 35 of all Pokémons,สะสมโปเกมอนทั้งหมด 35 ตัว,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำแข็งทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,35,6,0,41,100,
136,收集24全体精灵,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,Collect 24 of all Pokémons,Collect 24 of all Pokémons,สะสมโปเกมอนทั้งหมด 24 ตัว,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทต่อสู้ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,24,7,0,42,100,
137,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทต่อสู้ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,7,0,42,100,
138,收集35全体精灵,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,Collect 35 of all Pokémons,Collect 35 of all Pokémons,สะสมโปเกมอนทั้งหมด 35 ตัว,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทต่อสู้ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,35,7,0,42,100,
140,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพิษทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,8,0,43,100,
141,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพิษทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,8,0,43,100,
142,收集50全体精灵,收集50全體精靈,Collect 50 of all Pokémons,전체 포켓몬 50마리 수집,Collect 50 of all Pokémons,Collect 50 of all Pokémons,สะสมโปเกมอนทั้งหมด 50 ตัว,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพิษทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,50,8,0,43,100,
144,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทดินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,9,0,44,100,
145,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทดินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,9,0,44,100,
148,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทบินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,10,0,45,100,
149,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทบินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,10,0,45,100,
152,收集27全体精灵,收集27全體精靈,Collect 27 of all Pokémons,전체 포켓몬 27마리 수집,Collect 27 of all Pokémons,Collect 27 of all Pokémons,สะสมโปเกมอนทั้งหมด 27 ตัว,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพลังจิตทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,27,11,0,46,100,
153,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพลังจิตทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,11,0,46,100,
157,收集16全体精灵,收集16全體精靈,Collect 16 of all Pokémons,전체 포켓몬 16마리 수집,Collect 16 of all Pokémons,Collect 16 of all Pokémons,สะสมโปเกมอนทั้งหมด 16 ตัว,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแมลงทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,16,12,0,47,100,
158,收集20全体精灵,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,Collect 20 of all Pokémons,Collect 20 of all Pokémons,สะสมโปเกมอนทั้งหมด 20 ตัว,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแมลงทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,20,12,0,47,100,
159,收集24全体精灵,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,Collect 24 of all Pokémons,Collect 24 of all Pokémons,สะสมโปเกมอนทั้งหมด 24 ตัว,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแมลงทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,24,12,0,47,100,
162,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทหินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,13,0,48,100,
163,收集35全体精灵,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,Collect 35 of all Pokémons,Collect 35 of all Pokémons,สะสมโปเกมอนทั้งหมด 35 ตัว,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทหินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,35,13,0,48,100,
166,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทผีทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,14,0,49,100,
167,收集35全体精灵,收集35全體精靈,Collect 35 of all Pokémons,전체 포켓몬 35마리 수집,Collect 35 of all Pokémons,Collect 35 of all Pokémons,สะสมโปเกมอนทั้งหมด 35 ตัว,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทผีทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,35,14,0,49,100,
169,收集24全体精灵,收集24全體精靈,Collect 24 of all Pokémons,전체 포켓몬 24마리 수집,Collect 24 of all Pokémons,Collect 24 of all Pokémons,สะสมโปเกมอนทั้งหมด 24 ตัว,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทมังกรทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,24,15,0,50,100,
170,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทมังกรทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,15,0,50,100,
171,收集36全体精灵,收集36全體精靈,Collect 36 of all Pokémons,전체 포켓몬 36마리 수집,Collect 36 of all Pokémons,Collect 36 of all Pokémons,สะสมโปเกมอนทั้งหมด 36 ตัว,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทมังกรทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,36,15,0,50,100,
173,收集20全体精灵,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,Collect 20 of all Pokémons,Collect 20 of all Pokémons,สะสมโปเกมอนทั้งหมด 20 ตัว,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทความมืดทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,20,16,0,51,100,
174,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทความมืดทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,16,0,51,100,
175,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทความมืดทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,16,0,51,100,
